('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         765336 function calls (741322 primitive calls) in 8.082 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      194    0.003    0.000    0.776    0.004 _compiler.py:740(compile)
       95    0.003    0.000    0.006    0.000 enum.py:254(__set_name__)
     1722    0.003    0.000    0.003    0.000 _exceptions.py:7(map_exceptions)
 1280/914    0.003    0.000    0.004    0.000 {built-in method builtins.hash}
        2    0.003    0.001    0.003    0.001 {built-in method _codecs.utf_8_decode}
      748    0.003    0.000    0.004    0.000 _parser.py:449(_uniq)
     1163    0.003    0.000    0.004    0.000 typing.py:1252(__eq__)
     1003    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      233    0.003    0.000    0.011    0.000 typing_extensions.py:3029(_collect_parameters)
      293    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1694    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
      708    0.003    0.000    0.009    0.000 _compiler.py:398(_simple)
      256    0.003    0.000    1.421    0.006 _models.py:884(iter_bytes)
       24    0.003    0.000    0.033    0.001 dataclasses.py:921(_process_class)
    52/14    0.003    0.000    0.079    0.006 css_parser.py:911(parse_selectors)
      293    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      256    0.002    0.000    1.405    0.005 _models.py:935(iter_raw)
      600    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      256    0.002    0.000    1.397    0.005 http11.py:196(_receive_response_body)
     1376    0.002    0.000    0.002    0.000 _connection.py:212(their_state)
     1831    0.002    0.000    0.002    0.000 {method 'isupper' of 'str' objects}
      961    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      961    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:1222(__enter__)
    224/6    0.002    0.000    1.330    0.222 <frozen importlib._bootstrap>:911(_load_unlocked)
        6    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
      136    0.002    0.000    0.004    0.000 css_parser.py:359(__init__)
       77    0.002    0.000    0.026    0.000 css_parser.py:462(parse_attribute_selector)
     1473    0.002    0.000    0.003    0.000 financial_enhanced.py:23(<lambda>)
      260    0.002    0.000    0.003    0.000 _state.py:318(_fire_state_triggered_transitions)
      300    0.002    0.000    2.689    0.009 ssl.py:1226(recv)
      550    0.002    0.000    0.003    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      540    0.002    0.000    0.003    0.000 enum.py:850(__setattr__)
      300    0.002    0.000    2.686    0.009 ssl.py:1095(read)
     1647    0.002    0.000    0.002    0.000 {built-in method _sre.unicode_iscased}
       86    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
     1520    0.002    0.000    0.002    0.000 filter.py:259(_base_match)
      130    0.002    0.000    0.007    0.000 enum.py:390(__setitem__)
      600    0.002    0.000    0.003    0.000 _receivebuffer.py:60(__len__)
        6    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
      274    0.002    0.000    0.011    0.000 typing.py:1147(__init__)
     1505    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
      421    0.002    0.000    0.003    0.000 _parser.py:265(getwhile)
      418    0.002    0.000    0.003    0.000 enum.py:38(_is_descriptor)
      852    0.002    0.000    0.003    0.000 {built-in method fromkeys}
      446    0.002    0.000    0.003    0.000 enum.py:79(_is_private)
      763    0.002    0.000    0.003    0.000 _parser.py:83(groups)
        5    0.002    0.000    1.423    0.285 {method 'join' of 'bytes' objects}
      293    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
      200    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      260    0.002    0.000    0.006    0.000 _state.py:275(process_event)
   503/12    0.002    0.000    1.328    0.111 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      233    0.002    0.000    0.003    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
       99    0.002    0.000    0.029    0.000 typing.py:687(Union)
      194    0.002    0.000    0.452    0.002 _parser.py:969(parse)
      400    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      224    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      206    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      800    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      305    0.002    0.000    0.002    0.000 {method 'settimeout' of '_socket.socket' objects}
      121    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
      200    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     1103    0.002    0.000    0.002    0.000 {method 'get' of 'mappingproxy' objects}
      553    0.002    0.000    0.004    0.000 typing.py:166(_type_convert)
      439    0.002    0.000    0.003    0.000 socket.py:89(<lambda>)
      440    0.002    0.000    0.003    0.000 socket.py:94(<lambda>)
      511    0.002    0.000    0.003    0.000 enum.py:726(__call__)
      437    0.002    0.000    0.003    0.000 socket.py:79(<lambda>)
      261    0.002    0.000    0.003    0.000 _connection.py:330(_respond_to_state_changes)
       13    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
      300    0.001    0.000    0.003    0.000 _connection.py:352(receive_data)
      438    0.001    0.000    0.002    0.000 socket.py:84(<lambda>)
      251    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:445(cb)
      626    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:645(parent)
      256    0.001    0.000    0.001    0.000 _events.py:299(__init__)
  539/332    0.001    0.000    0.003    0.000 typing.py:1258(__hash__)
      135    0.001    0.000    0.003    0.000 dataclasses.py:701(_is_type)
       89    0.001    0.000    0.014    0.000 dataclasses.py:449(_create_fn)
      479    0.001    0.000    0.002    0.000 enum.py:48(_is_dunder)
      216    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1573(<genexpr>)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      617    0.001    0.000    0.003    0.000 {method 'extend' of 'list' objects}
    200/6    0.001    0.000    1.329    0.222 <frozen importlib._bootstrap_external>:989(exec_module)
      194    0.001    0.000    0.318    0.002 _compiler.py:573(_code)
      300    0.001    0.000    0.004    0.000 _receivebuffer.py:57(__bool__)
      254    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:416(__enter__)
       50    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      255    0.001    0.000    0.013    0.000 _decoders.py:95(decode)
      200    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
      923    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
      446    0.001    0.000    0.002    0.000 enum.py:59(_is_sunder)
      511    0.001    0.000    0.001    0.000 _decoders.py:237(decode)
      184    0.001    0.000    0.003    0.000 _parser.py:86(opengroup)
      300    0.001    0.000    0.001    0.000 _receivebuffer.py:53(__iadd__)
       59    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
      122    0.001    0.000    0.010    0.000 _markupbase.py:165(parse_comment)
      206    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      298    0.001    0.000    0.001    0.000 _receivebuffer.py:67(_extract)
      454    0.001    0.000    0.002    0.000 typing.py:1565(__eq__)
       57    0.001    0.000    0.004    0.000 dataclasses.py:760(_get_field)
  214/174    0.001    0.000    0.002    0.000 _compiler.py:436(_get_literal_prefix)
