('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         755328 function calls (731086 primitive calls) in 5.923 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      122    0.001    0.000    0.008    0.000 _htmlparser.py:285(handle_comment)
      517    0.001    0.000    0.002    0.000 {built-in method from_bytes}
      174    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      302    0.001    0.000    0.885    0.003 __init__.py:226(compile)
  136/131    0.001    0.000    0.016    0.000 css_parser.py:385(freeze)
       84    0.001    0.000    0.004    0.000 css_parser.py:798(parse_combinator)
      258    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      318    0.001    0.000    0.001    0.000 enum.py:59(_is_sunder)
      300    0.001    0.000    0.001    0.000 socket.py:732(readable)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      524    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
      488    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
       99    0.001    0.000    0.003    0.000 enum.py:1551(__or__)
       39    0.001    0.000    1.670    0.043 response.py:1173(read_chunked)
      165    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      270    0.001    0.000    0.001    0.000 types.py:192(__init__)
       24    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      190    0.001    0.000    0.001    0.000 _parser.py:231(__init__)
      339    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:632(cached)
      215    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      504    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       73    0.001    0.000    0.001    0.000 _parser.py:274(getuntil)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      237    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      301    0.001    0.000    0.001    0.000 {method '__exit__' of 'memoryview' objects}
      288    0.001    0.000    0.001    0.000 typing.py:1565(__eq__)
      520    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      189    0.001    0.000    0.006    0.000 css_types.py:360(__init__)
      190    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
       69    0.001    0.000    0.003    0.000 css_parser.py:532(parse_tag_pattern)
       54    0.001    0.000    0.009    0.000 typing.py:1449(__getitem__)
      403    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
  166/163    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      513    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      198    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      405    0.001    0.000    0.001    0.000 typing.py:1246(<genexpr>)
      217    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:420(__exit__)
       21    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      344    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        1    0.001    0.001    0.002    0.002 status_codes.py:109(_init)
       62    0.001    0.000    0.002    0.000 typing.py:345(_remove_dups_flatten)
       43    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
      197    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      136    0.001    0.000    0.011    0.000 css_types.py:203(__init__)
      215    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.001    0.001    0.001    0.001 hmac.py:1(<module>)
       83    0.001    0.000    0.001    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      260    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      462    0.001    0.000    0.001    0.000 css_types.py:73(__hash__)
      248    0.001    0.000    0.001    0.000 {built-in method builtins.any}
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      190    0.001    0.000    0.001    0.000 _parser.py:953(fix_flags)
       88    0.001    0.000    0.001    0.000 ipaddress.py:1213(_parse_octet)
      195    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      195    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       58    0.001    0.000    1.653    0.028 client.py:633(_safe_read)
      165    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      200    0.000    0.000    0.005    0.000 typing.py:723(<genexpr>)
      176    0.000    0.000    0.052    0.000 _parser.py:98(closegroup)
    79/46    0.000    0.000    0.639    0.014 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      414    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      268    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       17    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       49    0.000    0.000    1.222    0.025 {method 'readline' of '_io.BufferedReader' objects}
       58    0.000    0.000    0.001    0.000 typing.py:262(_collect_parameters)
